timestamp,frame_id,loop_dt,redis_age,mode,risk_score,roll,pitch,yaw,max_tracking_error,rms_tracking_error,max_torque_ratio,ramp,deploy_action_scale
1782708052.936693,95,0.003303,0.017498,SAFE_STAND,0.000000,0.015787,-0.011795,-0.226367,0.000000,0.000000,0.000000,1.000000,0.200000
1782708052.954491,96,0.001012,0.015195,SAFE_STAND,0.000000,0.015770,-0.011814,-0.226364,0.000000,0.000000,0.000000,1.000000,0.200000
1782708052.974591,97,0.001031,0.015272,SAFE_STAND,0.000000,0.015752,-0.011806,-0.226346,0.000000,0.000000,0.000000,1.000000,0.200000
1782708052.994431,98,0.000787,0.015313,SAFE_STAND,0.000000,0.015771,-0.011804,-0.226321,0.000000,0.000000,0.000000,1.000000,0.200000
1782708053.014406,99,0.000615,0.015426,SAFE_STAND,0.000000,0.015787,-0.011825,-0.226345,0.000000,0.000000,0.000000,1.000000,0.200000
1782708053.034476,100,0.000602,0.015352,SAFE_STAND,0.000000,0.015781,-0.011827,-0.226358,0.000000,0.000000,0.000000,1.000000,0.200000
1782708053.055117,101,0.000928,0.015760,SAFE_STAND,0.000000,0.015748,-0.011878,-0.226353,0.000000,0.000000,0.000000,1.000000,0.200000
1782708053.075164,102,0.000888,0.015531,SAFE_STAND,0.000000,0.015764,-0.011866,-0.226334,0.000000,0.000000,0.000000,1.000000,0.200000
1782708053.095175,103,0.000609,0.015835,SAFE_STAND,0.000000,0.015750,-0.011924,-0.226341,0.000000,0.000000,0.000000,1.000000,0.200000
1782708053.115294,104,0.000611,0.015993,SAFE_STAND,0.000000,0.015726,-0.011886,-0.226358,0.000000,0.000000,0.000000,1.000000,0.200000
1782708053.135366,105,0.000604,0.015980,SAFE_STAND,0.000000,0.015728,-0.011865,-0.226355,0.000000,0.000000,0.000000,1.000000,0.200000
1782708053.155933,106,0.000871,0.016284,SAFE_STAND,0.000000,0.015704,-0.011903,-0.226336,0.000000,0.000000,0.000000,1.000000,0.200000
1782708053.175964,107,0.000822,0.016448,SAFE_STAND,0.000000,0.015703,-0.011927,-0.226337,0.000000,0.000000,0.000000,1.000000,0.200000
1782708053.195997,108,0.000670,0.016433,SAFE_STAND,0.000000,0.015683,-0.011907,-0.226359,0.000000,0.000000,0.000000,1.000000,0.200000
1782708053.285464,109,0.069794,0.016742,TRACKING,0.091386,0.015697,-0.011924,-0.226305,0.046230,0.021537,0.135899,0.023050,0.200000
1782708053.287043,113,0.001550,0.005912,TRACKING,0.040039,0.015697,-0.011969,-0.226258,0.047779,0.022064,0.135899,0.023524,0.200000
1782708053.307018,114,0.001322,0.006194,TRACKING,0.041456,0.015692,-0.011951,-0.226270,0.048343,0.022318,0.144725,0.030183,0.200000
1782708053.327211,115,0.001436,0.006482,TRACKING,0.042029,0.015690,-0.011954,-0.226255,0.049043,0.022656,0.144725,0.036974,0.200000
1782708053.347828,116,0.001742,0.006985,TRACKING,0.042817,0.015696,-0.011987,-0.226255,0.049557,0.023063,0.146490,0.043778,0.200000
1782708053.367852,117,0.001550,0.006875,TRACKING,0.043455,0.015655,-0.011988,-0.226255,0.050253,0.023287,0.150020,0.050529,0.200000
1782708053.387764,118,0.001361,0.006600,TRACKING,0.042679,0.015652,-0.011993,-0.226228,0.050175,0.023365,0.150020,0.057099,0.200000
1782708053.407895,119,0.001408,0.006735,TRACKING,0.043064,0.015633,-0.012039,-0.226242,0.050328,0.023118,0.150020,0.063871,0.200000
1782708053.427989,120,0.001421,0.006977,TRACKING,0.043193,0.015643,-0.012004,-0.226251,0.050293,0.023016,0.150020,0.070566,0.200000
1782708053.448413,121,0.001396,0.007408,TRACKING,0.043051,0.015626,-0.011987,-0.226260,0.050414,0.022966,0.148256,0.077384,0.200000
1782708053.469578,122,0.002320,0.007401,TRACKING,0.043931,0.015634,-0.012013,-0.226329,0.050516,0.023374,0.148254,0.084291,0.200000
1782708053.491025,123,0.003625,0.007493,TRACKING,0.045774,0.015629,-0.012074,-0.226318,0.050779,0.023945,0.150020,0.091314,0.200000
1782708053.509701,124,0.002147,0.007599,TRACKING,0.044853,0.015618,-0.012116,-0.226406,0.051080,0.024215,0.151784,0.097725,0.200000
1782708053.530027,125,0.002095,0.008064,TRACKING,0.044471,0.015549,-0.012159,-0.226415,0.051217,0.024352,0.150020,0.104439,0.200000
1782708053.549363,126,0.001343,0.008069,TRACKING,0.044152,0.015530,-0.012117,-0.226394,0.051258,0.024444,0.151784,0.111028,0.200000
1782708053.569381,127,0.001283,0.008113,TRACKING,0.044108,0.015536,-0.012157,-0.226378,0.051077,0.024511,0.151784,0.117703,0.200000
1782708053.589668,128,0.001489,0.007940,TRACKING,0.044369,0.015494,-0.012160,-0.226399,0.051022,0.024579,0.151784,0.124459,0.200000
1782708053.610146,129,0.001664,0.008273,TRACKING,0.044790,0.015447,-0.012139,-0.226384,0.050929,0.024688,0.151782,0.131291,0.200000
