timestamp,frame_id,loop_dt,redis_age,mode,risk_score,roll,pitch,yaw,max_tracking_error,rms_tracking_error,max_torque_ratio,ramp
1782218183.675998,1,0.004929,0.000000,SAFE_STAND,0.007475,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218183.693571,2,0.002360,0.000000,SAFE_STAND,0.003436,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218183.713786,3,0.002470,0.000000,SAFE_STAND,0.003387,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218183.733787,4,0.002355,0.000000,SAFE_STAND,0.003322,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218183.752857,5,0.001339,0.000000,SAFE_STAND,0.001723,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218183.773307,6,0.001703,0.000000,SAFE_STAND,0.002288,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218183.793359,7,0.001670,0.000000,SAFE_STAND,0.002217,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218183.813933,8,0.002161,0.000000,SAFE_STAND,0.003017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218183.833728,9,0.001830,0.000000,SAFE_STAND,0.002491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218183.853982,10,0.001957,0.000000,SAFE_STAND,0.002687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218183.874067,11,0.001922,0.000000,SAFE_STAND,0.002624,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218183.894321,12,0.002055,0.000000,SAFE_STAND,0.002844,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218183.914035,13,0.001646,0.000000,SAFE_STAND,0.002206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218183.934435,14,0.001876,0.000000,SAFE_STAND,0.002722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218183.954525,15,0.001826,0.000000,TRACKING,0.002437,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001
1782218183.974990,16,0.002161,0.000000,TRACKING,0.002969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020468
1782218183.994775,17,0.001818,0.000000,TRACKING,0.003050,0.000000,0.000000,0.000000,0.008406,0.003165,0.000000,0.040254
1782218184.015078,18,0.001992,0.000000,TRACKING,0.003892,0.000000,0.000000,0.000000,0.016191,0.006040,0.000000,0.060559
1782218184.035370,19,0.002164,0.000000,TRACKING,0.004749,0.000000,0.000000,0.000000,0.025618,0.009085,0.000000,0.072828
1782218184.055313,20,0.001985,0.000000,TRACKING,0.004854,0.000000,0.000000,0.000000,0.031952,0.011063,0.000000,0.076817
1782218184.075063,21,0.001615,0.000000,TRACKING,0.004385,0.000000,0.000000,0.000000,0.034552,0.011766,0.000000,0.080765
1782218184.094873,22,0.001312,0.000000,TRACKING,0.004008,0.000000,0.000000,0.000000,0.036507,0.012299,0.000000,0.084728
1782218184.115653,23,0.001952,0.000000,TRACKING,0.005121,0.000000,0.000000,0.000000,0.037840,0.012786,0.000000,0.088885
1782218184.135235,24,0.001407,0.000000,TRACKING,0.004376,0.000000,0.000000,0.000000,0.039368,0.013400,0.000000,0.092801
1782218184.155578,25,0.001631,0.000000,TRACKING,0.004839,0.000000,0.000000,0.000000,0.040830,0.013972,0.000000,0.096869
1782218184.175663,26,0.001583,0.000000,TRACKING,0.004884,0.000000,0.000000,0.000000,0.042523,0.014593,0.000000,0.100887
1782218184.195578,27,0.001372,0.000000,TRACKING,0.004670,0.000000,0.000000,0.000000,0.044360,0.015229,0.000000,0.104869
1782218184.215719,28,0.001396,0.000000,TRACKING,0.004824,0.000000,0.000000,0.000000,0.046165,0.015863,0.000000,0.108897
1782218184.235883,29,0.001438,0.000000,TRACKING,0.005231,0.000000,0.000000,0.000000,0.047987,0.016492,0.000000,0.112949
1782218184.255591,30,0.001028,0.000000,TRACKING,0.004650,0.000000,0.000000,0.000000,0.049757,0.017101,0.000000,0.116887
1782218184.276175,31,0.001479,0.000000,TRACKING,0.005483,0.000000,0.000000,0.000000,0.051501,0.017706,0.000000,0.121004
1782218184.295820,32,0.001000,0.000000,TRACKING,0.004845,0.000000,0.000000,0.000000,0.053261,0.018321,0.000000,0.124933
1782218184.316347,33,0.001396,0.000000,TRACKING,0.005553,0.000000,0.000000,0.000000,0.054914,0.018901,0.000000,0.129037
1782218184.337030,34,0.001941,0.000000,TRACKING,0.006513,0.000000,0.000000,0.000000,0.056696,0.019519,0.000000,0.133171
