timestamp,frame_id,loop_dt,redis_age,mode,risk_score,roll,pitch,yaw,max_tracking_error,rms_tracking_error,max_torque_ratio,ramp
1782219990.428290,0,0.006357,192.722262,SAFE_STAND,0.057143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.445124,0,0.002610,192.742151,SAFE_STAND,0.051312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.464336,0,0.001732,192.762163,SAFE_STAND,0.050120,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.484260,0,0.001579,192.782120,SAFE_STAND,0.049889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.504256,0,0.001501,192.802197,SAFE_STAND,0.049761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.523810,0,0.000978,192.822265,SAFE_STAND,0.048940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.544275,0,0.001366,192.842331,SAFE_STAND,0.049351,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.564696,0,0.001702,192.862471,SAFE_STAND,0.049921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.584844,0,0.001767,192.882545,SAFE_STAND,0.050027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.604906,0,0.001746,192.902647,SAFE_STAND,0.050008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.625039,0,0.001812,192.922803,SAFE_STAND,0.050074,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.644698,0,0.001384,192.942889,SAFE_STAND,0.049576,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.665231,0,0.001839,192.962903,SAFE_STAND,0.050301,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.685389,0,0.001919,192.982993,SAFE_STAND,0.050428,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.704951,0,0.001403,193.003067,SAFE_STAND,0.049652,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.725326,0,0.001697,193.023238,SAFE_STAND,0.050053,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.745437,0,0.001727,193.043245,SAFE_STAND,0.050121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.765689,0,0.001901,193.063220,SAFE_STAND,0.050154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.785942,0,0.002034,193.083353,SAFE_STAND,0.050451,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.806329,0,0.002303,193.103598,SAFE_STAND,0.050870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.826246,0,0.002099,193.123665,SAFE_STAND,0.050549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.846344,0,0.002059,193.143802,SAFE_STAND,0.050491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782219990.866319,0,0.001949,193.163846,SAFE_STAND,0.050332,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
