timestamp,frame_id,loop_dt,redis_age,mode,risk_score,roll,pitch,yaw,max_tracking_error,rms_tracking_error,max_torque_ratio,ramp
1782218821.098516,228,0.005057,0.010212,SAFE_STAND,0.012348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218821.116866,229,0.002830,0.009033,SAFE_STAND,0.008286,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218821.136585,230,0.002380,0.008991,SAFE_STAND,0.007796,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218821.155681,231,0.001391,0.008960,SAFE_STAND,0.006196,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218821.175496,232,0.001076,0.009260,SAFE_STAND,0.005915,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218821.195977,233,0.001483,0.010058,SAFE_STAND,0.006896,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218821.216001,234,0.001386,0.010005,SAFE_STAND,0.006536,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218821.237252,235,0.002481,0.010087,SAFE_STAND,0.008281,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218821.257015,236,0.002082,0.010235,SAFE_STAND,0.007726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218821.276887,237,0.001817,0.010506,SAFE_STAND,0.007417,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218821.296909,238,0.001700,0.010495,SAFE_STAND,0.007425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218821.316670,239,0.001353,0.010426,SAFE_STAND,0.006873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218821.337338,240,0.001943,0.010155,SAFE_STAND,0.007679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218821.357375,241,0.001901,0.010454,SAFE_STAND,0.007748,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1782218821.376942,242,0.001390,0.009721,TRACKING,0.006314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001
1782218821.398296,243,0.002647,0.009641,TRACKING,0.008328,0.000000,0.000000,0.000000,0.000002,0.000001,0.000000,0.021375
1782218821.417841,244,0.002096,0.009594,TRACKING,0.009872,0.000000,0.000000,0.000000,0.047594,0.012651,0.000000,0.040929
1782218821.437945,245,0.002103,0.009771,TRACKING,0.012401,0.000000,0.000000,0.000000,0.093182,0.024579,0.000000,0.061108
1782218821.457354,246,0.001427,0.009839,TRACKING,0.013766,0.000000,0.000000,0.000000,0.142140,0.037114,0.000000,0.072762
1782218821.477796,247,0.001732,0.010844,TRACKING,0.016077,0.000000,0.000000,0.000000,0.170548,0.044152,0.000000,0.076850
1782218821.498064,248,0.001871,0.010021,TRACKING,0.016157,0.000000,0.000000,0.000000,0.176855,0.045536,0.000000,0.080903
1782218821.517881,249,0.001553,0.010123,TRACKING,0.015735,0.000000,0.000000,0.000000,0.176999,0.045585,0.000000,0.084868
1782218821.537768,250,0.001311,0.010197,TRACKING,0.015127,0.000000,0.000000,0.000000,0.170073,0.044265,0.000000,0.088845
1782218821.557935,251,0.001352,0.010237,TRACKING,0.014872,0.000000,0.000000,0.000000,0.158970,0.042471,0.000000,0.092878
1782218821.578271,252,0.001558,0.010367,TRACKING,0.014898,0.000000,0.000000,0.000000,0.144739,0.040366,0.000000,0.096949
1782218821.598605,253,0.001765,0.010423,TRACKING,0.014846,0.000000,0.000000,0.000000,0.129878,0.038467,0.000000,0.101012
1782218821.618634,254,0.001667,0.010507,TRACKING,0.014449,0.000000,0.000000,0.000000,0.115410,0.036960,0.000000,0.105018
1782218821.638961,255,0.001866,0.010556,TRACKING,0.014704,0.000000,0.000000,0.000000,0.110377,0.036548,0.000000,0.109083
1782218821.659050,256,0.001825,0.010621,TRACKING,0.014893,0.000000,0.000000,0.000000,0.103399,0.037727,0.000000,0.113101
1782218821.679479,257,0.002122,0.010784,TRACKING,0.015429,0.000000,0.000000,0.000000,0.092600,0.038880,0.000000,0.117169
1782218821.699706,258,0.002250,0.010588,TRACKING,0.016006,0.000000,0.000000,0.000000,0.092825,0.041303,0.000000,0.121214
1782218821.719206,259,0.001655,0.010529,TRACKING,0.015739,0.000000,0.000000,0.000000,0.095715,0.044802,0.000000,0.125117
1782218821.739950,260,0.002286,0.011553,TRACKING,0.017917,0.000000,0.000000,0.000000,0.102804,0.048578,0.000000,0.129264
1782218821.759477,261,0.001717,0.011455,TRACKING,0.017725,0.000000,0.000000,0.000000,0.110620,0.052334,0.000000,0.133173
1782218821.779621,262,0.001773,0.010639,TRACKING,0.018135,0.000000,0.000000,0.000000,0.127211,0.056098,0.000000,0.137199
1782218821.799433,263,0.001498,0.010668,TRACKING,0.018320,0.000000,0.000000,0.000000,0.143977,0.059186,0.000000,0.141165
1782218821.819575,264,0.001552,0.011576,TRACKING,0.019419,0.000000,0.000000,0.000000,0.158860,0.062206,0.000000,0.145193
1782218821.839846,265,0.001730,0.010756,TRACKING,0.019754,0.000000,0.000000,0.000000,0.171305,0.064638,0.000000,0.149244
1782218821.864438,266,0.006231,0.011002,TRACKING,0.027541,0.000000,0.000000,0.000000,0.181089,0.066896,0.000000,0.154174
1782218821.880501,267,0.002136,0.010666,TRACKING,0.020927,0.000000,0.000000,0.000000,0.187501,0.068562,0.000000,0.157350
1782218821.900662,268,0.002148,0.011230,TRACKING,0.021420,0.000000,0.000000,0.000000,0.186926,0.068803,0.000000,0.161406
1782218821.920859,269,0.002196,0.011108,TRACKING,0.021456,0.000000,0.000000,0.000000,0.183527,0.068954,0.000000,0.165445
1782218821.941128,270,0.002302,0.011397,TRACKING,0.021676,0.000000,0.000000,0.000000,0.175940,0.068700,0.000000,0.169498
1782218821.960735,271,0.001811,0.011412,TRACKING,0.020861,0.000000,0.000000,0.000000,0.165564,0.068300,0.000000,0.173420
1782218821.981270,272,0.002255,0.011388,TRACKING,0.021534,0.000000,0.000000,0.000000,0.153098,0.067924,0.000000,0.177531
1782218822.000625,273,0.001520,0.011770,TRACKING,0.020524,0.000000,0.000000,0.000000,0.144998,0.068065,0.000000,0.181397
1782218822.020909,274,0.001714,0.011593,TRACKING,0.021013,0.000000,0.000000,0.000000,0.148509,0.068340,0.000000,0.185473
1782218822.041163,275,0.001868,0.011512,TRACKING,0.021317,0.000000,0.000000,0.000000,0.151128,0.068814,0.000000,0.189524
1782218822.061075,276,0.001698,0.011564,TRACKING,0.021109,0.000000,0.000000,0.000000,0.151290,0.069128,0.000000,0.193505
1782218822.080975,277,0.001522,0.011578,TRACKING,0.020849,0.000000,0.000000,0.000000,0.150572,0.069148,0.000000,0.197486
1782218822.101190,278,0.001658,0.011520,TRACKING,0.020959,0.000000,0.000000,0.000000,0.142243,0.068748,0.000000,0.201529
1782218822.121941,279,0.002315,0.011576,TRACKING,0.021740,0.000000,0.000000,0.000000,0.136417,0.068474,0.000000,0.205662
1782218822.141853,280,0.002120,0.011376,TRACKING,0.021343,0.000000,0.000000,0.000000,0.138193,0.068445,0.000000,0.209644
1782218822.161825,281,0.001941,0.011445,TRACKING,0.021411,0.000000,0.000000,0.000000,0.143589,0.068970,0.000000,0.213656
1782218822.181873,282,0.001862,0.011902,TRACKING,0.021763,0.000000,0.000000,0.000000,0.145980,0.070402,0.000000,0.217664
1782218822.201923,283,0.001823,0.011810,TRACKING,0.022227,0.000000,0.000000,0.000000,0.153586,0.073487,0.000000,0.221673
1782218822.222193,284,0.001954,0.011716,TRACKING,0.023426,0.000000,0.000000,0.000000,0.176707,0.078549,0.000000,0.225733
