motion,seed,mode,window,frames,joint_rmse,root_velocity_rmse,height_rmse,max_tilt,fall_rate,fallen_frame_fraction,action_rate_l2_per_second,inference_ms_mean,inference_ms_p95,reference_pipeline_ms_mean,roll_rmse,pitch_rmse,yaw_rmse,branch_cosine_mean,branch_cancellation_ratio
accad/A10__Lie_to_crouch.pkl,42,A,full_sequence,236,0.4666471926716302,0.4540425049094301,0.30048587901856416,1.8354031004549347,1.0,0.8305084745762712,49.49864326873734,0.2675774830677101,0.4629405002560816,0.06775608897064327,2.3257639127303364,1.0878102060016162,1.720494994834042,,
accad/A10__Lie_to_crouch.pkl,42,A,after_warmup,212,0.4582735343598432,0.4571849975031314,0.2559285027417878,1.8354031004549347,1.0,0.9245283018867925,50.1336031471694,0.25035689624611174,0.4529173500486648,0.06754740565036559,2.415669828682831,1.087626041445305,1.8144953528319105,,
accad/A10__Lie_to_crouch.pkl,42,B,full_sequence,236,0.46195578315451946,0.4661765595168852,0.3054947530928314,1.8733708532768998,1.0,0.8305084745762712,53.08706257573114,0.23927198728253674,0.324595500273972,0.49061240254412936,2.328293384815675,1.0865485208467536,1.8535050082459101,,
accad/A10__Lie_to_crouch.pkl,42,B,after_warmup,212,0.45295142307230574,0.47058281362218585,0.26244674864405815,1.8733708532768998,1.0,0.9245283018867925,54.15916202406575,0.2197971462246127,0.3176487501832525,0.5371684528354136,2.4183808102409055,1.086221193535102,1.9548881111689431,,
accad/A10__Lie_to_crouch.pkl,42,C,full_sequence,236,0.47113333570692606,0.47438826087343633,0.30490542530183407,1.9408496163469522,1.0,0.8347457627118644,46.585084647603615,0.653708987300179,0.8291947499401431,0.07291101269594823,2.305829623843692,1.0895935387187952,1.298925426073593,0.15558104979769924,0.20866031334140644
accad/A10__Lie_to_crouch.pkl,42,C,after_warmup,212,0.463669708879263,0.4802669395640065,0.2609222175156553,1.9408496163469522,1.0,0.9292452830188679,46.807507182981716,0.6067083679359918,0.7751905500526846,0.07176976885362682,2.394686194964876,1.0901714194955645,1.3693182023000061,0.2086632888205548,0.205453014453005
accad/A10__Lie_to_crouch.pkl,42,D,full_sequence,236,0.46240137999349623,0.47114492097284266,0.30751061038584565,1.9203571041145513,1.0,0.8347457627118644,51.42006848548878,0.6585306483021529,0.9005154996657438,0.5164958177825395,2.279549650583485,1.0871619130158832,1.3934738708479055,0.15393504039382866,0.2132296866760396
accad/A10__Lie_to_crouch.pkl,42,D,after_warmup,212,0.45377879449222475,0.4766995655538345,0.26430376180069104,1.9203571041145513,1.0,0.9292452830188679,52.22109423068879,0.6311180424535331,0.9151054997118981,0.5667102311197184,2.3665114421003217,1.0874656112548986,1.4691537917547102,0.20683093872945366,0.2103485846209351
accad/A10__Lie_to_crouch.pkl,42,E,full_sequence,236,0.4714814872421662,0.4592721001869975,0.29313855749418044,1.8917145124994141,1.0,0.8305084745762712,47.82219908532929,0.6870247669509145,1.203979750016515,0.023404309327600195,2.3133885866413024,1.0844632103789782,1.4293263912697332,0.21077141327789192,0.19522375413726278
accad/A10__Lie_to_crouch.pkl,42,E,after_warmup,212,0.4639950499088251,0.46094735371329454,0.24588746842907608,1.8917145124994141,1.0,0.9245283018867925,48.0956061601774,0.6646258254803333,1.2039939499572938,0.023545273586263786,2.403127196499252,1.0855823059980738,1.5072961061186243,0.26567986597372767,0.19094483198334333
accad/A10__Lie_to_crouch.pkl,43,A,full_sequence,236,0.4628444474085508,0.4524916403899654,0.2900768560042121,1.8770835538124981,1.0,0.8177966101694916,41.648047511553145,0.2545157711835091,0.4201732498358979,0.0645004152652368,2.1850256629685174,1.0941140473892037,1.7150367477785557,,
accad/A10__Lie_to_crouch.pkl,43,A,after_warmup,212,0.45493910672047566,0.4554492164480508,0.2389054854379115,1.8770835538124981,1.0,0.910377358490566,41.39071867927234,0.23230408961988464,0.3756617001499759,0.0645503490680844,2.2695786571347774,1.1029672082752815,1.8083186760643954,,
accad/A10__Lie_to_crouch.pkl,43,B,full_sequence,236,0.458495607902706,0.45579684324243624,0.2952187666491681,1.8692731134040192,1.0,0.8177966101694916,41.16002980970999,0.24579932203015248,0.35770850001881627,0.513014495751677,2.195695781649613,1.1008166482893769,1.8041935167989673,,
accad/A10__Lie_to_crouch.pkl,43,B,after_warmup,212,0.45001026134698136,0.45910339173378645,0.24581714984211964,1.8692731134040192,1.0,0.910377358490566,40.81952445068868,0.22660894339792922,0.3550497998730861,0.5622098490414159,2.281013313943347,1.1103665554634514,1.9024457932557797,,
accad/A10__Lie_to_crouch.pkl,43,C,full_sequence,236,0.4591475935952562,0.4546842420766287,0.2941879451799717,1.8199147037587005,1.0,0.8135593220338984,29.415273376879956,0.6962584364265564,1.2201374997857783,0.06975553814130361,2.0466140485236277,1.098184712020682,1.6140725823535282,0.13647476924628782,0.2047346886419935
accad/A10__Lie_to_crouch.pkl,43,C,after_warmup,212,0.4508594219175321,0.45818895205780674,0.24386240437604573,1.8199147037587005,1.0,0.9056603773584906,27.671067484669635,0.6526274481006593,1.2036702499699456,0.06952709434416356,2.121531421669926,1.1078020282302805,1.7017841562731748,0.16848932841309208,0.2043523780623342
accad/A10__Lie_to_crouch.pkl,43,D,full_sequence,236,0.45098799090876424,0.4393903249930202,0.2898594452125542,1.8112274355380926,1.0,0.8135593220338984,23.025588464447072,0.6751977796477026,1.201673249624946,0.5346090127135293,1.8425943600535903,0.9620328596591917,1.7569231279670299,0.17701548916508045,0.14367549284816217
accad/A10__Lie_to_crouch.pkl,43,D,after_warmup,212,0.4415961450201519,0.4412654808087884,0.2380223286141062,1.8112274355380926,1.0,0.9056603773584906,20.51346133177587,0.6369547499856845,1.1436489994139263,0.5862203632050468,1.9019971390033337,0.9565395454680816,1.8526016366744602,0.2136195637943895,0.13750091959089417
accad/A10__Lie_to_crouch.pkl,43,E,full_sequence,236,0.4714814872421662,0.4592721001869975,0.29313855749418044,1.8917145124994141,1.0,0.8305084745762712,47.82219908532929,0.6834077330379733,1.2082452503818786,0.02339779237799876,2.3133885866413024,1.0844632103789782,1.4293263912697332,0.21077141327789192,0.19522375413726278
accad/A10__Lie_to_crouch.pkl,43,E,after_warmup,212,0.4639950499088251,0.46094735371329454,0.24588746842907608,1.8917145124994141,1.0,0.9245283018867925,48.0956061601774,0.6573540377191747,1.2083678502676776,0.023367778309858415,2.403127196499252,1.0855823059980738,1.5072961061186243,0.26567986597372767,0.19094483198334333
accad/A10__Lie_to_crouch.pkl,44,A,full_sequence,236,0.4627027232306673,0.4225449118369034,0.2822837737692851,1.8761100205734638,1.0,0.826271186440678,53.98577985935867,0.2705637669512695,0.5420912502813735,0.06938198727489103,2.37241573986333,1.0684083591809763,1.1685056587976717,,
accad/A10__Lie_to_crouch.pkl,44,A,after_warmup,212,0.4552374048295649,0.42194215076578584,0.22827651211876715,1.8761100205734638,1.0,0.9198113207547169,54.9453744270171,0.25411319812382366,0.5337770500318584,0.07026896697373919,2.4699293616171962,1.074513571110888,1.2309767731319272,,
accad/A10__Lie_to_crouch.pkl,44,B,full_sequence,236,0.4572963623898179,0.42206347570655295,0.28110672259534747,1.935800698004769,1.0,0.826271186440678,54.5845520773311,0.26385345342717653,0.437352249491596,0.494915902575069,2.343834110174614,1.070521022801391,1.4075136087154216,,
accad/A10__Lie_to_crouch.pkl,44,B,after_warmup,212,0.4491148747298001,0.42140541119085684,0.22665382006479287,1.935800698004769,1.0,0.9198113207547169,55.64879877136265,0.2462088821175712,0.421616799485491,0.5421962547609168,2.439363191822628,1.076851809392784,1.4834734750223197,,
accad/A10__Lie_to_crouch.pkl,44,C,full_sequence,236,0.4776150952397961,0.43934684695556264,0.28333087517942324,1.874199394083507,1.0,0.826271186440678,49.99943157096499,0.6661824025756641,0.8535292499800562,0.07282772031754514,2.327231467053835,1.0632352802679432,0.8612393628444431,0.21121072881000172,0.19333425855511333
accad/A10__Lie_to_crouch.pkl,44,C,after_warmup,212,0.47220339315606363,0.4411489573831124,0.22904303993180528,1.874199394083507,1.0,0.9198113207547169,50.47702125728649,0.6358942075793201,0.8348117998593806,0.07157503299616642,2.4220013115439363,1.069101562643565,0.9061646918444956,0.26084649125591325,0.19167871172207085
accad/A10__Lie_to_crouch.pkl,44,D,full_sequence,236,0.46353058228553534,0.42516758950474626,0.2858262017177046,1.8254618575119603,1.0,0.826271186440678,56.95262350341004,0.682374148308847,1.2041067502650549,0.54913886443285,2.337086974372146,1.0746399016534836,0.9908361920016459,0.18963228593447193,0.19971865812808764
accad/A10__Lie_to_crouch.pkl,44,D,after_warmup,212,0.45631111590046003,0.42540158928268473,0.23246876772295008,1.8254618575119603,1.0,0.9198113207547169,58.22770797843355,0.655836325484175,1.2046145502608852,0.5982772736087837,2.432542628775453,1.0817208493199002,1.0432305577433896,0.23682520579070077,0.19845972122379907
accad/A10__Lie_to_crouch.pkl,44,E,full_sequence,236,0.4714814872421662,0.4592721001869975,0.29313855749418044,1.8917145124994141,1.0,0.8305084745762712,47.82219908532929,0.6905618135564416,1.139506999606965,0.023001669548756258,2.3133885866413024,1.0844632103789782,1.4293263912697332,0.21077141327789192,0.19522375413726278
accad/A10__Lie_to_crouch.pkl,44,E,after_warmup,212,0.4639950499088251,0.46094735371329454,0.24588746842907608,1.8917145124994141,1.0,0.9245283018867925,48.0956061601774,0.6599780188883775,1.0311131497928705,0.023089952891204343,2.403127196499252,1.0855823059980738,1.5072961061186243,0.26567986597372767,0.19094483198334333
biomotionlab_ntroje/rub001_0009_sitting1.pkl,42,A,full_sequence,291,0.19668814310494467,0.2426582824729056,0.03327207018429904,0.2998954423605133,0.0,0.0,28.279993980907935,0.24861391067286953,0.41528500014464953,0.062300113388550224,0.063911899009226,0.21116277964413527,0.7503870530140169,,
biomotionlab_ntroje/rub001_0009_sitting1.pkl,42,A,after_warmup,267,0.19424973222890218,0.22015587125267266,0.034325876729834365,0.2992661539204943,0.0,0.0,27.27519477423408,0.2201092846600373,0.3222364005523559,0.06116888012121386,0.06015596530783327,0.2196758627436365,0.7816504418635648,,
biomotionlab_ntroje/rub001_0009_sitting1.pkl,42,B,full_sequence,291,0.19236500812705334,0.23624823450695034,0.030529638024691077,0.2998954423605133,0.0,0.0,28.18972613942775,0.24549936424404054,0.3698290001921123,0.5294026219679526,0.05933287156582059,0.21189704223603673,0.8311245184209377,,
biomotionlab_ntroje/rub001_0009_sitting1.pkl,42,B,after_warmup,267,0.18947254294408336,0.21242141037996198,0.031425565221996445,0.2992661539204943,0.0,0.0,27.15700929635279,0.2282946853766463,0.35630790007417085,0.5671864531537272,0.05480576317975382,0.22044510450584098,0.8661074721970125,,
biomotionlab_ntroje/rub001_0009_sitting1.pkl,42,C,full_sequence,291,0.1984879225252759,0.24148298447214198,0.03278520752928911,0.33290439944545713,0.0,0.0,28.092632594122808,0.6595049278241395,0.8494964999954391,0.07165130583475995,0.0646881892670248,0.22007099313477876,0.7732469803603323,0.17089988615897575,0.21294275687764996
biomotionlab_ntroje/rub001_0009_sitting1.pkl,42,C,after_warmup,267,0.1963893531843329,0.21852712316904707,0.03378401406555699,0.33009717865698807,0.0,0.0,27.065328163031964,0.6289289363195074,0.8401058000345073,0.06946288762646396,0.06153639406027564,0.22843571212653876,0.805722202015127,0.1437713474703174,0.2234600803661385
biomotionlab_ntroje/rub001_0009_sitting1.pkl,42,D,full_sequence,291,0.1937303746298022,0.23934390484592094,0.029853177542596,0.33290439944545713,0.0,0.0,28.387272559068048,0.6730165326429964,1.1053789999095898,0.5313814776558083,0.060381616059055385,0.21492310291450709,0.8397852160397755,0.17135253481532434,0.21043702467434522
biomotionlab_ntroje/rub001_0009_sitting1.pkl,42,D,after_warmup,267,0.19114144137917444,0.21594704140703336,0.030678875999938144,0.33009717865698807,0.0,0.0,27.371839408736363,0.6392519999928127,0.9111974996812923,0.5703085655372565,0.05656580270806625,0.22302978985332228,0.8753079871571726,0.14426468364633785,0.22077027014262263
biomotionlab_ntroje/rub001_0009_sitting1.pkl,42,E,full_sequence,291,0.19057079898629178,0.2570914408289684,0.026131024979177214,0.34327226544799,0.0,0.0,19.680543790184103,0.6794248350557996,1.2769135000780807,0.0232966701342147,0.0655726722473525,0.2149867874160174,1.0366584380616315,0.16214318976974706,0.23228803325834824
biomotionlab_ntroje/rub001_0009_sitting1.pkl,42,E,after_warmup,267,0.1886669663228753,0.2366029758645544,0.026848915442921648,0.3354695663245051,0.0,0.0,18.226581234903605,0.65783473034779,1.260450999870954,0.023429475687690555,0.06224289305591968,0.22252096620879405,1.0813851748436398,0.1338827316219261,0.2452070144481555
biomotionlab_ntroje/rub001_0009_sitting1.pkl,43,A,full_sequence,291,0.19366652515293323,0.2388290281021416,0.03105166326609225,0.3058225474090462,0.0,0.0,28.854491232447792,0.24874600681787937,0.41203849968951545,0.06665113748264655,0.0598546581686536,0.20697344995867878,0.8226884629517222,,
biomotionlab_ntroje/rub001_0009_sitting1.pkl,43,A,after_warmup,267,0.19139533935563025,0.21460528733763318,0.03203605507128035,0.3046829384221443,0.0,0.0,27.873055693428576,0.23566983888353146,0.40964599984363304,0.06450231838461787,0.05542760543354437,0.2150595614541434,0.8577566380465474,,
biomotionlab_ntroje/rub001_0009_sitting1.pkl,43,B,full_sequence,291,0.18967595036134136,0.24898249715996246,0.0280759261520037,0.31965092590822675,0.0,0.0,29.669803215638773,0.27777104124149204,0.4720560004898289,0.579745725102639,0.05710762103631631,0.20344965762569311,0.9579180605520703,,
